x,y,potential
1.5129,-7.8341,-0.6
1.58515,-7.8198,-0.6
1.63988,-7.80851,-0.510273
1.70322,-7.79494,-0.45223
1.76644,-7.78085,-0.410644
1.82954,-7.76626,-0.3766
1.89253,-7.75115,-0.346995
1.95539,-7.73553,-0.320383
2.01812,-7.7194,-0.295955
2.08071,-7.70277,-0.2732
2.14317,-7.68562,-0.25177
2.20549,-7.66797,-0.231415
2.26767,-7.64981,-0.211946
2.32969,-7.63115,-0.193217
2.39156,-7.61199,-0.175112
2.45328,-7.59233,-0.157534
2.51483,-7.57216,-0.140403
2.57621,-7.5515,-0.123651
2.63743,-7.53034,-0.107218
2.69847,-7.50868,-0.0910519
2.75934,-7.48652,-0.0751055
2.82002,-7.46388,-0.0593358
2.88051,-7.44074,-0.0437028
2.94082,-7.41711,-0.028169
3.00094,-7.39299,-0.0126985
3.06085,-7.36839,0.00274349
3.12056,-7.3433,0.0181915
3.18007,-7.31773,0.0336799
3.23937,-7.29167,0.049244
3.29846,-7.26513,0.06492
3.35732,-7.23812,0.0807464
3.41597,-7.21063,0.0967638
3.47439,-7.18266,0.113017
3.53258,-7.15422,0.129554
3.59054,-7.12531,0.14643
3.64827,-7.09592,0.163707
3.70575,-7.06607,0.181456
3.76299,-7.03576,0.199764
3.81998,-7.00498,0.218732
3.87672,-6.97374,0.238485
3.9332,-6.94204,0.259182
3.98942,-6.90988,0.281027
4.04538,-6.87727,0.304297
4.10108,-6.8442,0.329383
4.1565,-6.81069,0.356871
4.21165,-6.77672,0.387735
4.26653,-6.74231,0.423852
4.32112,-6.70745,0.469832
4.40856,-6.65031,0.6
4.42944,-6.63642,0.6
4.48317,-6.60024,0.6
4.5366,-6.56363,0.6
4.58973,-6.52659,0.6
4.64256,-6.48911,0.6
4.69509,-6.45121,0.6
4.7473,-6.41289,0.6
4.7992,-6.37414,0.6
4.85079,-6.33497,0.6
4.90205,-6.29538,0.6
4.953,-6.25538,0.6
5.00361,-6.21497,0.6
5.0539,-6.17415,0.6
5.10385,-6.13292,0.6
5.15347,-6.09128,0.6
5.20275,-6.04925,0.6
5.25168,-6.00681,0.6
5.30027,-5.96398,0.6
5.34851,-5.92076,0.6
5.3964,-5.87715,0.6
5.44393,-5.83315,0.6
5.4911,-5.78876,0.6
5.53791,-5.744,0.6
5.58436,-5.69885,0.6
5.63043,-5.65333,0.6
5.67614,-5.60744,0.6
5.72147,-5.56118,0.6
5.76643,-5.51455,0.6
5.811,-5.46756,0.6
5.8552,-5.42021,0.6
5.899,-5.3725,0.6
5.94242,-5.32443,0.6
5.98545,-5.27602,0.6
6.02808,-5.22726,0.6
6.07032,-5.17815,0.6
6.11215,-5.1287,0.6
6.15358,-5.07892,0.6
6.19461,-5.0288,0.6
6.23523,-4.97835,0.6
6.27543,-4.92757,0.6
6.31523,-4.87646,0.6
6.35461,-4.82503,0.6
6.39356,-4.77329,0.6
6.4321,-4.72123,0.6
6.47022,-4.66886,0.6
6.5079,-4.61619,0.6
6.54516,-4.5632,0.6
6.58199,-4.50992,0.6
6.65031,-4.40856,0.6
6.65434,-4.40247,0.585647
6.68986,-4.34831,0.493895
6.72494,-4.29386,0.441412
6.75957,-4.23912,0.402147
6.79376,-4.18411,0.369386
6.8275,-4.12882,0.340615
6.86079,-4.07326,0.314601
6.89363,-4.01744,0.290626
6.92602,-3.96134,0.268229
6.95795,-3.90499,0.247089
6.98942,-3.84838,0.226974
7.02043,-3.79151,0.207708
7.05097,-3.7344,0.189151
7.08106,-3.67704,0.171194
7.11067,-3.61943,0.153744
7.13982,-3.56159,0.136723
7.1685,-3.50352,0.120067
7.1967,-3.44521,0.103718
7.22443,-3.38667,0.0876241
7.25169,-3.32792,0.0717396
7.27846,-3.26894,0.0560226
7.30476,-3.20975,0.0404337
7.33057,-3.15034,0.0249361
7.35591,-3.09073,0.00949414
7.38075,-3.03092,-0.0059268
7.40511,-2.9709,-0.0213609
7.42899,-2.91069,-0.0368427
7.45237,-2.85029,-0.0524074
7.47526,-2.7897,-0.0680917
7.49766,-2.72893,-0.0839342
7.51957,-2.66797,-0.0999762
7.54098,-2.60684,-0.116263
7.56189,-2.54554,-0.132843
7.58231,-2.48407,-0.149774
7.60222,-2.42244,-0.167119
7.62164,-2.36065,-0.184952
7.64055,-2.2987,-0.203361
7.65896,-2.2366,-0.222452
7.67686,-2.17435,-0.242356
7.69426,-2.11196,-0.263239
7.71115,-2.04943,-0.285318
7.72753,-1.98677,-0.308887
7.7434,-1.92397,-0.334366
7.75877,-1.86105,-0.362388
7.77362,-1.79801,-0.394003
7.78796,-1.73484,-0.431171
7.80179,-1.67156,-0.478301
7.8198,-1.58515,-0.6
7.82789,-1.54468,-0.6
7.84018,-1.48109,-0.6
7.85194,-1.41739,-0.6
7.86319,-1.35361,-0.6
7.87392,-1.28973,-0.6
7.88413,-1.22577,-0.6
7.89382,-1.16173,-0.6
7.90299,-1.09761,-0.6
7.91164,-1.03342,-0.6
7.91977,-0.969162,-0.6
7.92737,-0.90484,-0.6
7.93446,-0.840458,-0.6
7.94102,-0.77602,-0.6
7.94706,-0.711532,-0.6
7.95257,-0.646996,-0.6
7.95756,-0.582418,-0.6
7.96203,-0.517802,-0.6
7.96597,-0.453151,-0.6
7.96938,-0.388471,-0.6
7.97227,-0.323765,-0.6
7.97464,-0.259038,-0.6
7.97648,-0.194293,-0.6
7.97779,-0.129536,-0.6
7.97858,-0.0647701,-0.6
7.91699,0,-0.585951
7.91673,0.06477,-0.585936
7.91593,0.129536,-0.585893
7.91461,0.194293,-0.585821
7.91276,0.259037,-0.585718
7.91037,0.323763,-0.585582
7.90746,0.388468,-0.585413
7.90401,0.453148,-0.585207
7.90004,0.517796,-0.584961
7.89554,0.58241,-0.58467
7.89051,0.646985,-0.584329
7.88496,0.711517,-0.58393
7.87887,0.776001,-0.583464
7.87226,0.840433,-0.582918
7.86512,0.904809,-0.582278
7.85745,0.969125,-0.58152
7.84926,1.03338,-0.580615
7.84055,1.09756,-0.579518
7.8313,1.16166,-0.578165
7.82154,1.22569,-0.576451
7.81125,1.28964,-0.574203
7.80044,1.3535,-0.571094
7.7891,1.41728,-0.566422
7.77725,1.48095,-0.558382
7.76487,1.54453,-0.547123
7.75198,1.608,-0.507808
7.73856,1.67137,-0.459987
7.72463,1.73462,-0.419325
7.71018,1.79776,-0.384783
7.69521,1.86078,-0.354527
7.67973,1.92367,-0.327322
7.66374,1.98644,-0.302382
7.64723,2.04907,-0.279188
7.63021,2.11156,-0.257378
7.61268,2.17392,-0.236693
7.59464,2.23612,-0.216934
7.57609,2.29818,-0.197949
